Вопрос,Ответ
Какие основные права имеет потребитель согласно законодательству?,"В соответствии со статьей 4 Закона РФ ""О защите прав потребителей"", потребитель имеет право на безопасность товара, работы или услуги, надлежащее качество, получение необходимой и достоверной информации о товаре, работе или услуге, а также на возмещение убытков, причиненных вследствие недостатков товара, работы или услуги.
    
2."
"Если я купил товар ненадлежащего качества, какие у меня есть варианты действий?","Согласно статье 18 Закона РФ ""О защите прав потребителей"", в случае приобретения товара ненадлежащего качества потребитель вправе потребовать замены на товар надлежащего качества, безвозмездного устранения недостатков товара или соразмерного уменьшения покупной цены. Также возможно отказаться от исполнения договора купли-продажи и потребовать возврата уплаченной за товар суммы.
    
3."
"В течение какого срока я могу вернуть товар, если он мне просто не подошел?","В соответствии со статьей 25 Закона РФ ""О защите прав потребителей"", потребитель вправе обменять непродовольственный товар надлежащего качества на аналогичный товар у продавца, у которого этот товар был приобретен, если указанный товар не подошел по форме, габаритам, фасону, расцветке, размеру или комплектации, в течение четырнадцати дней, не считая дня его покупки.
    
4."
"Что делать, если продавец отказывается обменять или вернуть товар ненадлежащего качества?","В соответствии со статьей 18 Закона РФ ""О защите прав потребителей"", в случае отказа продавца удовлетворить законные требования потребителя, последний вправе обратиться с письменной претензией к продавцу, а при неудовлетворении претензии – в уполномоченные государственные органы по защите прав потребителей или в суд.
    
5."
Кто несет ответственность за качество товара: продавец или производитель?,"Согласно статье 18 Закона РФ ""О защите прав потребителей"", ответственность за качество товара несут как продавец, так и производитель (изготовитель). Потребитель вправе предъявить требования по своему выбору к продавцу или изготовителю.
    
6."
В какой срок должны быть удовлетворены требования потребителя о замене товара ненадлежащего качества?,"Согласно статье 21 Закона РФ ""О защите прав потребителей"", требование потребителя о замене товара ненадлежащего качества подлежит удовлетворению продавцом (изготовителем, уполномоченной организацией или уполномоченным индивидуальным предпринимателем, импортером) в течение семи дней со дня предъявления указанного1 требования.
    
7."
Что такое гарантийный срок на товар?,"В соответствии со статьей 5 Закона РФ ""О защите прав потребителей"", гарантийный срок - это период, в течение которого изготовитель2 (продавец) гарантирует качество товара и обязуется устранить обнаруженные недостатки или заменить товар в случае их выявления.
    
8."
"Если гарантийный срок истек, могу ли я предъявить претензии к продавцу или производителю?","Согласно статье 19 Закона РФ ""О защите прав потребителей"", по истечении гарантийного срока требования к изготовителю (исполнителю, продавцу) в отношении недостатков товара (работы, услуги) могут быть предъявлены в течение установленного срока службы или в течение десяти лет со дня передачи товара (работы, услуги) потребителю, если срок службы не установлен.
    
9."
Какую информацию о товаре обязан предоставить мне продавец перед покупкой?,"В соответствии со статьей 10 Закона РФ ""О защите прав потребителей"", продавец обязан предоставить потребителю необходимую и достоверную информацию о товарах (работах, услугах), обеспечивающую возможность их правильного выбора.
    
10."
"Что делать, если мне продали товар без предоставления полной информации о нем?","Согласно статье 12 Закона РФ ""О защите прав потребителей"", если потребителю не предоставлена возможность3 незамедлительно получить4 при заключении договора информацию о товаре (работе, услуге), он вправе потребовать от продавца (исполнителя) возмещения убытков.
    
11."
